state_initial,state,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date,all_non-ess_business_duration,travel_limit_duration,any_business_duration,any_gathering_restrict_duration,educational_fac_duration,stay_home_duration
NE,Nebraska,550,2020-05-09,2020-05-03,2020-12-27,2020-06-16,2020-05-04,2020-12-27,2020-06-16,2020-05-03,2020-12-27,7413.0,569.0,4283.0,336.0,3130.0,233.0,,,,,2020-04-02,,2020-03-16,,2020-03-19,2020-07-06,,,,,109.0,,,
NV,Nevada,551,2020-11-01,2020-07-13,2020-12-20,2020-11-01,2020-07-13,2020-12-20,2020-11-01,2020-07-13,2020-12-20,8006.0,696.0,5758.0,513.0,2248.0,183.0,,,2020-03-31,2020-05-09,2020-03-16,,2020-03-24,,2020-03-18,,2020-03-21,2020-05-09,49.0,,,,,39.0
NH,New Hampshire,552,2020-05-13,2020-05-08,2020-12-27,2020-05-10,2020-05-08,2020-12-27,2020-05-10,2020-05-08,2020-12-27,3052.0,263.0,2033.0,179.0,1019.0,84.0,,,2020-03-27,2020-06-16,2020-03-16,,2020-03-16,,2020-03-16,2020-06-29,2020-03-28,2020-05-11,44.0,,105.0,,,81.0
NJ,New Jersey,553,2020-04-18,2020-04-14,2020-04-22,2020-04-18,2020-04-17,2020-04-19,2020-04-17,2020-04-17,2020-04-18,25996.0,1643.0,18181.0,1177.0,7815.0,466.0,,,2020-03-21,2020-06-09,2020-03-18,,2020-03-16,,2020-03-16,,2020-03-21,2020-05-02,42.0,,,,,80.0
NM,New Mexico,554,2020-05-09,2020-05-01,2020-12-27,2020-05-11,2020-05-02,2020-12-27,2020-05-12,2020-05-01,2020-12-27,4756.0,331.0,3003.0,214.0,1753.0,117.0,,,,,2020-03-13,,2020-03-12,,2020-03-16,,2020-03-24,2020-05-15,52.0,,,,,
NY,New York,555,2020-04-09,2020-04-06,2020-04-11,2020-04-08,2020-04-08,2020-04-09,2020-04-08,2020-04-08,2020-04-08,62232.0,3787.0,49221.0,3069.0,13011.0,718.0,,,2020-03-22,2020-06-08,2020-03-18,,2020-03-12,,2020-03-16,,2020-03-22,2020-06-08,78.0,,,,,78.0
NC,North Carolina,556,2020-08-02,2020-04-22,2020-12-27,2020-08-01,2020-04-24,2020-12-27,2020-08-01,2020-04-23,2020-12-27,24713.0,2096.0,17587.0,1528.0,7126.0,568.0,,,2020-03-30,2020-05-08,2020-03-14,,2020-03-14,,2020-03-17,,2020-03-30,2020-05-08,39.0,,,,,39.0
ND,North Dakota,557,2020-11-01,2020-04-18,2020-12-27,2020-11-01,2020-04-12,2020-12-27,2020-11-01,2020-04-12,2020-12-27,3779.0,219.0,2234.0,132.0,1545.0,87.0,,,,,2020-03-16,,,,2020-03-20,,,,,,,,,
OH,Ohio,558,2020-05-08,2020-04-27,2020-05-19,2020-05-06,2020-05-05,2020-12-27,2020-05-06,2020-05-05,2020-12-27,37351.0,3371.0,23060.0,2132.0,14291.0,1239.0,,,2020-03-23,2020-05-20,2020-03-16,,2020-03-12,,2020-03-15,,2020-03-23,2020-05-04,42.0,,,,,58.0
OK,Oklahoma,559,2020-11-01,2020-04-11,2020-12-08,2020-11-01,2020-04-12,2020-12-08,2020-11-01,2020-04-11,2020-12-07,13153.0,1166.0,7695.0,699.0,5458.0,467.0,,,,,2020-03-17,,2020-03-24,2020-05-24,2020-04-01,2020-06-01,2020-04-01,2020-04-24,23.0,,61.0,61.0,,
